continent,year,month,total_cases,total_deaths
"South America",2024,July,884,1
World,2020,January,2033,62
World,2020,February,76909,2411
World,2020,March,611724,35807
World,2020,April,2037922,178889
World,2020,May,3163480,184334
World,2020,June,3936842,144336
World,2020,July,6074723,162506
World,2020,August,9261926,219379
World,2020,September,8143085,160002
World,2020,October,10187462,156799
World,2020,November,19566436,323684
World,2020,December,17255874,329388
World,2021,January,22070633,484000
World,2021,February,11022033,303230
World,2021,March,12861645,253439
World,2021,April,19601774,333155
World,2021,May,23734858,440629
World,2021,June,10822935,258619
World,2021,July,13410750,234213
World,2021,August,22253836,345972
World,2021,September,15484337,246781
World,2021,October,15086099,247085
World,2021,November,14569045,204631
World,2021,December,19380554,197605
World,2022,January,94694159,268246
World,2022,February,59761654,281424
World,2022,March,46082485,175992
World,2022,April,26970423,85772
World,2022,May,18751417,61087
World,2022,June,15145267,38226
World,2022,July,32981058,72771
World,2022,August,22850430,65628
World,2022,September,14173487,46160
World,2022,October,15057500,55618
World,2022,November,10483582,40252
World,2022,December,67065915,57961
World,2023,January,47674052,85959
World,2023,February,4851818,96106
World,2023,March,3635718,26682
World,2023,April,3617660,26841
World,2023,May,1896511,15379
World,2023,June,921493,8242
World,2023,July,1131720,5300
World,2023,August,1542667,6655
World,2023,September,840815,8895
World,2023,October,763798,14023
World,2023,November,778964,10726
World,2023,December,1617873,18065
World,2024,January,639084,14984
World,2024,February,343555,8337
World,2024,March,355030,6726
World,2024,April,146766,3061
World,2024,May,135150,2122
World,2024,June,180840,2654
World,2024,July,34423,530
